TITLE Flamberge
08 36.796875
02 37.03125
04 37.265625
01 37.5
08 37.65625
01 37.734375
08 37.96875
02 38.203125
04 38.359375
01 38.4375
04 38.59375
02 38.671875
08 38.90625
04 39.140625
02 39.375
04 39.53125
08 39.609375
01 39.84375
08 40.078125
02 40.234375
08 40.3125
01 40.46875
04 40.546875
01 40.78125
02 41.015625
04 41.25
08 41.40625
01 41.484375
08 41.71875
01 41.953125
02 42.109375
04 42.1875
02 42.34375
01 42.421875
08 42.65625
01 42.890625
08 43.125
02 43.359375
02 43.59375
02 43.828125
02 44.0625
02 44.296875
06 44.53125
01 44.765625
09 45.0
01 45.3515625
01 45.46875
03 45.9375
04 46.171875
08 46.40625
01 46.640625
09 47.109375
02 47.34375
06 47.8125
05 48.28125
09 48.75
08 49.1015625
08 49.21875
12 49.6875
02 49.921875
01 50.15625
08 50.390625
08 52.265625
01 52.5
01 52.8515625
01 52.96875
09 53.4375
02 53.671875
04 53.90625
02 54.140625
10 54.609375
01 54.84375
03 55.3125
06 55.78125
12 56.25
08 56.6015625
08 56.71875
09 57.1875
04 57.421875
01 57.65625
02 57.890625
06 59.53125
08 59.765625
01 60.0
01 60.234375
03 60.46875
02 60.859375
01 61.171875
09 61.40625
04 61.875
04 62.109375
10 62.34375
08 62.65625
01 63.046875
03 63.28125
02 63.75
02 63.984375
06 64.21875
04 64.609375
08 64.921875
09 65.15625
02 65.625
02 65.859375
09 66.09375
08 66.484375
04 66.71875
08 66.796875
12 67.03125
01 67.265625
01 67.5
01 67.734375
06 67.96875
08 68.359375
01 68.671875
09 68.90625
08 69.375
08 69.609375
05 69.84375
04 70.234375
02 70.546875
10 70.78125
08 71.25
08 71.484375
12 71.71875
04 72.109375
02 72.421875
09 72.65625
08 73.125
08 73.359375
09 73.59375
01 73.984375
04 74.0625
02 74.21875
08 74.296875
01 74.453125
08 74.53125
04 74.6875
02 74.765625
01 74.921875
08 75.15625
02 75.234375
08 75.390625
01 75.46875
02 75.703125
04 75.859375
08 76.09375
01 76.171875
02 76.328125
04 76.5625
02 76.640625
01 76.796875
08 77.03125
02 77.109375
04 77.265625
01 77.34375
08 77.5
01 77.578125
04 77.734375
02 77.96875
08 78.046875
01 78.203125
02 78.4375
04 78.515625
02 78.671875
01 78.90625
08 78.984375
02 79.140625
08 79.21875
01 79.375
04 79.453125
01 79.609375
02 79.84375
04 79.921875
08 80.078125
01 80.3125
08 80.390625
01 80.546875
08 80.78125
04 80.859375
08 81.015625
02 81.09375
04 81.25
01 81.328125
08 81.484375
04 81.71875
02 81.796875
04 81.953125
08 82.1875
01 82.265625
04 82.421875
01 82.65625
08 82.734375
01 82.890625
08 82.96875
04 83.125
08 83.203125
04 83.359375
02 83.59375
01 83.671875
08 83.828125
02 84.0625
04 84.140625
02 84.296875
08 84.53125
01 84.609375
08 84.765625
02 84.84375
04 85.0
01 85.078125
08 85.234375
04 85.46875
02 85.546875
04 85.703125
08 85.9375
01 86.015625
04 86.171875
01 86.40625
08 86.484375
02 86.640625
08 86.71875
01 86.875
02 86.953125
04 87.109375
02 87.34375
01 87.421875
08 87.578125
01 87.8125
04 87.890625
01 88.046875
08 88.28125
04 88.359375
02 88.515625
01 88.59375
08 88.75
02 88.828125
04 88.984375
01 89.21875
08 89.296875
02 89.453125
04 89.53125
01 89.6875
08 89.765625
01 89.921875
08 90.0
02 90.46875
09 90.9375
03 91.328125
10 91.640625
09 91.875
05 92.265625
06 92.578125
03 92.8125
08 93.28125
09 93.75
12 94.21875
06 94.453125
03 94.921875
09 95.15625
10 95.390625
03 95.625
03 95.859375
10 96.09375
12 96.328125
06 96.5625
02 97.03125
01 97.1875
08 97.265625
04 97.421875
08 97.5
01 97.96875
12 98.4375
06 98.828125
10 99.140625
09 99.375
05 99.765625
06 100.078125
03 100.3125
03 101.25
06 101.71875
12 101.953125
09 102.421875
05 102.65625
06 102.890625
02 103.125
08 103.28125
01 103.359375
08 103.515625
02 103.59375
08 103.75
01 103.828125
02 103.984375
04 104.21875
08 104.296875
01 104.453125
08 104.6875
01 104.765625
08 104.921875
01 105.0
