TITLE M.A.Y.U
1000 46.640625
1100 46.875
0110 47.2265625
2100 47.578125
3001 47.9296875
0100 48.046875
0010 48.28125
1000 48.3984375
0010 48.515625
1000 48.6328125
0002 48.75
1000 49.1015625
1000 49.453125
0100 49.8046875
0100 50.15625
0100 50.390625
0010 50.625
0010 50.9765625
1000 51.328125
1003 51.6796875
0010 51.796875
0100 52.03125
0010 52.265625
1000 52.3828125
0001 52.5
0011 52.8515625
2001 53.203125
0010 53.5546875
3010 53.90625
0100 54.0234375
0001 54.140625
0011 54.375
1100 54.7265625
0011 55.078125
0010 55.3125
0001 55.4296875
1000 55.546875
0010 55.6640625
0100 55.78125
0001 55.8984375
0100 56.015625
0001 56.1328125
1000 56.25
0100 56.484375
0010 56.71875
0001 56.953125
1000 57.1875
0010 57.421875
0100 57.65625
0001 57.890625
1000 58.125
0001 58.25
0100 58.375
0010 58.5
1000 58.625
0100 58.75
0010 58.875
0001 59.0
2000 59.125
3001 59.625
2001 60.0
3010 60.46875
0200 60.5859375
0301 60.9375
0020 61.171875
0031 61.40625
0001 61.640625
1000 61.7578125
0200 61.875
1300 62.34375
0001 62.4609375
1000 62.578125
0001 62.6953125
0010 62.8125
0100 62.9296875
1000 63.046875
0001 63.1640625
2000 63.28125
3002 63.75
0100 63.984375
1003 64.21875
0020 64.3359375
0130 64.6875
0001 64.921875
1000 65.0390625
0100 65.15625
0100 65.390625
1000 65.5078125
0001 65.625
2000 65.859375
3010 66.09375
0100 66.2109375
0010 66.328125
0100 66.4453125
0001 66.5625
2000 66.6796875
3100 66.9140625
0020 67.03125
0030 67.3828125
1002 67.5
0100 67.734375
0103 67.96875
0020 68.0859375
1030 68.4375
0001 68.671875
0010 68.7890625
0100 68.90625
0100 69.140625
1000 69.2578125
0002 69.375
1003 69.84375
0010 69.9609375
0100 70.078125
0010 70.1953125
1000 70.3125
0100 70.4296875
0010 70.546875
0100 70.6640625
1000 70.78125
0001 70.8984375
0100 71.015625
0010 71.1328125
2000 71.25
0001 71.484375
3001 71.71875
0100 71.8359375
0100 72.0703125
0010 72.1875
2000 72.421875
3001 72.65625
0001 72.890625
0010 73.0078125
0100 73.125
2000 73.375
3001 73.625
0100 73.75
0001 73.875
1000 74.0
0100 74.125
0010 74.25
0001 74.5
1000 74.625
1002 75.0
0010 75.234375
0013 75.46875
0200 75.5859375
1300 75.9375
0020 76.171875
0130 76.40625
0100 76.640625
0001 76.7578125
2000 76.875
3001 77.34375
0100 77.4609375
0010 77.578125
0100 77.6953125
0001 77.8125
1000 77.9296875
0001 78.046875
1000 78.1640625
0001 78.28125
0010 78.3984375
0100 78.515625
1000 78.6328125
0002 78.75
0100 78.984375
0103 79.21875
0020 79.3359375
1030 79.6875
0002 79.921875
0013 80.15625
0010 80.390625
0100 80.5078125
1000 80.625
1000 80.859375
0001 81.09375
0100 81.2109375
0001 81.328125
0100 81.4453125
0010 81.5625
1000 81.6796875
0001 81.9140625
0020 82.03125
0030 82.3828125
2001 82.5
0010 82.734375
3010 82.96875
0100 83.0859375
0100 83.3203125
0001 83.4375
2000 83.671875
3100 83.90625
0010 84.0234375
0001 84.140625
1000 84.2578125
0002 84.375
1003 84.84375
0010 84.9609375
0100 85.078125
0001 85.1953125
1000 85.3125
0100 85.4296875
1000 85.546875
0100 85.6640625
1000 85.78125
0001 85.8984375
0100 86.015625
0010 86.1328125
1000 86.25
0001 86.71875
0100 87.1875
0010 87.65625
1000 88.125
0001 88.359375
0100 88.59375
0010 88.828125
1000 89.0625
0100 89.1796875
0010 89.296875
0001 89.4140625
1000 89.53125
1001 90.0
0001 90.3515625
0001 90.703125
0202 90.9375
0303 91.40625
0110 91.875
0100 92.2265625
0100 92.578125
0120 92.8125
2030 93.75
0001 94.6875
0010 95.625
0010 95.9765625
0010 96.328125
0001 96.5625
3000 97.03125
0011 97.5
0010 97.8515625
0010 98.203125
0220 98.4375
0330 98.90625
1100 99.375
1000 99.7265625
1000 100.078125
1002 100.3125
0203 101.25
0310 101.71875
1000 101.8359375
0001 101.953125
1000 102.1875
1000 102.5390625
1000 102.890625
0100 103.125
0100 103.4765625
0100 103.828125
0010 103.9453125
0100 104.1796875
1000 104.296875
0001 104.4140625
0100 104.53125
0010 104.765625
0100 104.8828125
0002 105.0
0003 108.75
